unix,iso_utc,price
1760062383,2025-10-10T02:13:03+00:00,0.993
1760062443,2025-10-10T02:14:03+00:00,0.993
1760062504,2025-10-10T02:15:04+00:00,0.993
1760062563,2025-10-10T02:16:03+00:00,0.993
1760062624,2025-10-10T02:17:04+00:00,0.993
1760062684,2025-10-10T02:18:04+00:00,0.993
1760062745,2025-10-10T02:19:05+00:00,0.993
1760062816,2025-10-10T02:20:16+00:00,0.992
1760062864,2025-10-10T02:21:04+00:00,0.992
1760062924,2025-10-10T02:22:04+00:00,0.9915
1760062983,2025-10-10T02:23:03+00:00,0.9915
1760063045,2025-10-10T02:24:05+00:00,0.9915
1760063103,2025-10-10T02:25:03+00:00,0.992
1760063163,2025-10-10T02:26:03+00:00,0.992
1760063223,2025-10-10T02:27:03+00:00,0.992
1760063284,2025-10-10T02:28:04+00:00,0.9915
1760063344,2025-10-10T02:29:04+00:00,0.992
1760063406,2025-10-10T02:30:06+00:00,0.992
1760063464,2025-10-10T02:31:04+00:00,0.992
1760063525,2025-10-10T02:32:05+00:00,0.992
1760063584,2025-10-10T02:33:04+00:00,0.992
1760063645,2025-10-10T02:34:05+00:00,0.992
1760063710,2025-10-10T02:35:10+00:00,0.992
1760063764,2025-10-10T02:36:04+00:00,0.992
1760063823,2025-10-10T02:37:03+00:00,0.992
1760063885,2025-10-10T02:38:05+00:00,0.992
1760063944,2025-10-10T02:39:04+00:00,0.992
1760064012,2025-10-10T02:40:12+00:00,0.992
1760064063,2025-10-10T02:41:03+00:00,0.992
1760064124,2025-10-10T02:42:04+00:00,0.992
1760064183,2025-10-10T02:43:03+00:00,0.992
1760064246,2025-10-10T02:44:06+00:00,0.992
1760064304,2025-10-10T02:45:04+00:00,0.992
1760064364,2025-10-10T02:46:04+00:00,0.992
1760064423,2025-10-10T02:47:03+00:00,0.992
1760064485,2025-10-10T02:48:05+00:00,0.992
1760064543,2025-10-10T02:49:03+00:00,0.992
1760064614,2025-10-10T02:50:14+00:00,0.9905
1760064664,2025-10-10T02:51:04+00:00,0.9905
1760064723,2025-10-10T02:52:03+00:00,0.9905
1760064784,2025-10-10T02:53:04+00:00,0.9905
1760064844,2025-10-10T02:54:04+00:00,0.991
1760064903,2025-10-10T02:55:03+00:00,0.991
1760064963,2025-10-10T02:56:03+00:00,0.991
1760065024,2025-10-10T02:57:04+00:00,0.991
1760065083,2025-10-10T02:58:03+00:00,0.9925
1760065143,2025-10-10T02:59:03+00:00,0.9925
1760065216,2025-10-10T03:00:16+00:00,0.9925
1760065264,2025-10-10T03:01:04+00:00,0.9925
1760065325,2025-10-10T03:02:05+00:00,0.994
1760065383,2025-10-10T03:03:03+00:00,0.994
1760065444,2025-10-10T03:04:04+00:00,0.9945
1760065510,2025-10-10T03:05:10+00:00,0.993
1760065564,2025-10-10T03:06:04+00:00,0.993
1760065623,2025-10-10T03:07:03+00:00,0.993
1760065683,2025-10-10T03:08:03+00:00,0.993
1760065744,2025-10-10T03:09:04+00:00,0.993
1760065810,2025-10-10T03:10:10+00:00,0.993
1760065864,2025-10-10T03:11:04+00:00,0.993
1760065923,2025-10-10T03:12:03+00:00,0.993
1760065984,2025-10-10T03:13:04+00:00,0.993
1760066043,2025-10-10T03:14:03+00:00,0.993
1760066103,2025-10-10T03:15:03+00:00,0.993
1760066165,2025-10-10T03:16:05+00:00,0.993
1760066225,2025-10-10T03:17:05+00:00,0.993
1760066285,2025-10-10T03:18:05+00:00,0.993
1760066345,2025-10-10T03:19:05+00:00,0.993
1760066405,2025-10-10T03:20:05+00:00,0.993
1760066463,2025-10-10T03:21:03+00:00,0.993
1760066524,2025-10-10T03:22:04+00:00,0.993
1760066584,2025-10-10T03:23:04+00:00,0.9985
1760066644,2025-10-10T03:24:04+00:00,0.9985
1760066705,2025-10-10T03:25:05+00:00,0.9985
1760066764,2025-10-10T03:26:04+00:00,0.9985
1760066823,2025-10-10T03:27:03+00:00,0.9985
1760066884,2025-10-10T03:28:04+00:00,0.9985
1760066942,2025-10-10T03:29:02+00:00,0.9985
1760067013,2025-10-10T03:30:13+00:00,0.9985
1760067064,2025-10-10T03:31:04+00:00,0.9985
1760067124,2025-10-10T03:32:04+00:00,0.9985
1760067184,2025-10-10T03:33:04+00:00,0.9985
1760067243,2025-10-10T03:34:03+00:00,0.9985
1760067305,2025-10-10T03:35:05+00:00,0.9985
1760067364,2025-10-10T03:36:04+00:00,0.9985
1760067422,2025-10-10T03:37:02+00:00,0.9985
1760067485,2025-10-10T03:38:05+00:00,0.9985
1760067543,2025-10-10T03:39:03+00:00,0.9985
1760067613,2025-10-10T03:40:13+00:00,0.9985
1760067663,2025-10-10T03:41:03+00:00,0.9985
1760067725,2025-10-10T03:42:05+00:00,0.9985
1760067784,2025-10-10T03:43:04+00:00,0.9985
1760067843,2025-10-10T03:44:03+00:00,0.9985
1760067917,2025-10-10T03:45:17+00:00,0.9985
1760067964,2025-10-10T03:46:04+00:00,0.9985
1760068024,2025-10-10T03:47:04+00:00,0.9985
1760068084,2025-10-10T03:48:04+00:00,0.9985
1760068145,2025-10-10T03:49:05+00:00,0.9985
1760068214,2025-10-10T03:50:14+00:00,0.9985
1760068264,2025-10-10T03:51:04+00:00,0.9985
1760068324,2025-10-10T03:52:04+00:00,0.9985
1760068383,2025-10-10T03:53:03+00:00,0.9985
1760068443,2025-10-10T03:54:03+00:00,0.9985
1760068514,2025-10-10T03:55:14+00:00,0.9985
1760068565,2025-10-10T03:56:05+00:00,0.9985
1760068623,2025-10-10T03:57:03+00:00,0.9985
1760068684,2025-10-10T03:58:04+00:00,0.9985
1760068744,2025-10-10T03:59:04+00:00,0.9985
1760068803,2025-10-10T04:00:03+00:00,0.9985
1760068864,2025-10-10T04:01:04+00:00,0.9985
1760068924,2025-10-10T04:02:04+00:00,0.9995
1760068983,2025-10-10T04:03:03+00:00,0.9995
1760069044,2025-10-10T04:04:04+00:00,0.9985
1760069103,2025-10-10T04:05:03+00:00,0.9985
1760069163,2025-10-10T04:06:03+00:00,0.9985
1760069222,2025-10-10T04:07:02+00:00,0.9985
1760069283,2025-10-10T04:08:03+00:00,0.9985
1760069344,2025-10-10T04:09:04+00:00,0.9985
1760069404,2025-10-10T04:10:04+00:00,0.9985
1760069464,2025-10-10T04:11:04+00:00,0.9985
1760069525,2025-10-10T04:12:05+00:00,0.9985
1760069584,2025-10-10T04:13:04+00:00,0.9985
1760069644,2025-10-10T04:14:04+00:00,0.9985
1760069711,2025-10-10T04:15:11+00:00,0.9985
1760069765,2025-10-10T04:16:05+00:00,0.9985
1760069823,2025-10-10T04:17:03+00:00,0.9985
1760069885,2025-10-10T04:18:05+00:00,0.9985
1760069944,2025-10-10T04:19:04+00:00,0.9985
1760070003,2025-10-10T04:20:03+00:00,0.9985
1760070063,2025-10-10T04:21:03+00:00,0.9985
1760070123,2025-10-10T04:22:03+00:00,0.9985
1760070184,2025-10-10T04:23:04+00:00,0.9985
1760070244,2025-10-10T04:24:04+00:00,0.9985
1760070310,2025-10-10T04:25:10+00:00,0.9985
1760070364,2025-10-10T04:26:04+00:00,0.9985
1760070422,2025-10-10T04:27:02+00:00,0.9985
1760070484,2025-10-10T04:28:04+00:00,0.9985
1760070543,2025-10-10T04:29:03+00:00,0.9985
1760070603,2025-10-10T04:30:03+00:00,0.9985
1760070665,2025-10-10T04:31:05+00:00,0.9985
1760070722,2025-10-10T04:32:02+00:00,0.9985
1760070784,2025-10-10T04:33:04+00:00,0.9985
1760070843,2025-10-10T04:34:03+00:00,0.9985
