ticker,event_ticker,status,close_time,volume
KXTRUMPMENTION-25NOV07-NEW,KXTRUMPMENTION-25NOV07,settled,2025-11-05T21:11:28.488701Z,4335
KXTRUMPMENTIONB-25NOV06-COMM,KXTRUMPMENTIONB-25NOV06,settled,2025-11-06T01:51:47.503473Z,4008
KXMAMDANIMENTION-25NOV06-SOCI,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:33:22.166815Z,2491
KXMAMDANIMENTION-25NOV06-VICT,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:34:02.502155Z,2254
KXMAMDANIMENTION-25NOV06-TRUM,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:34:35.720843Z,2247
KXMAMDANIMENTION-25NOV06-QUEE,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:39:48.872506Z,1800
KXMAMDANIMENTION-25NOV06-NYPD,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:35:30.633387Z,7310
KXMAMDANIMENTION-25NOV06-MUSL,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:35:07.919953Z,2092
KXMAMDANIMENTION-25NOV06-KATH,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:40:35.619032Z,1999
KXMAMDANIMENTION-25NOV06-ISLA,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:34:51.99251Z,1162
KXMAMDANIMENTION-25NOV06-INEQ,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:39:15.300691Z,2639
KXMAMDANIMENTION-25NOV06-GROC,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:38:26.93089Z,1892
KXMAMDANIMENTION-25NOV06-FREE,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:43:52.801167Z,2021
KXMAMDANIMENTION-25NOV06-FIVE,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:36:18.297466Z,1821
KXMAMDANIMENTION-25NOV06-DOUB,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:38:55.488019Z,2441
KXMAMDANIMENTION-25NOV06-CUOM,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:43:28.942597Z,6342
KXMAMDANIMENTION-25NOV06-BILL,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:36:48.397626Z,1743
KXMAMDANIMENTION-25NOV06-BERN,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:40:12.18165Z,1076
KXMAMDANIMENTION-25NOV06-ADAM,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:44:44.61794Z,2030
KXWTAMATCH-25NOV05RYBALE-RYB,KXWTAMATCH-25NOV05RYBALE,settled,2025-11-05T15:31:02.651018Z,48343
KXWTAMATCH-25NOV05RYBALE-ALE,KXWTAMATCH-25NOV05RYBALE,settled,2025-11-05T15:31:02.651018Z,32490
KXNCAAMBTOTAL-25NOV05DSUTEM-169,KXNCAAMBTOTAL-25NOV05DSUTEM,settled,2025-11-06T02:31:14.320411Z,200
KXNCAAMBTOTAL-25NOV05DSUTEM-166,KXNCAAMBTOTAL-25NOV05DSUTEM,settled,2025-11-06T02:31:14.056327Z,200
KXNCAAMBTOTAL-25NOV05DSUTEM-163,KXNCAAMBTOTAL-25NOV05DSUTEM,settled,2025-11-06T02:31:13.773197Z,200
KXNCAAMBTOTAL-25NOV05DSUTEM-160,KXNCAAMBTOTAL-25NOV05DSUTEM,settled,2025-11-06T02:31:13.410548Z,200
