ticker,event_ticker,status,close_time,volume,title,category,series_ticker,event_time
KXTRUMPMENTION-25NOV07-NEW,KXTRUMPMENTION-25NOV07,settled,2025-11-05T21:11:28.488701Z,4335,What will Trump say during the America Business Forum?,Mentions,KXTRUMPMENTION,2025-11-05T21:11:28.488701Z
KXTRUMPMENTIONB-25NOV06-COMM,KXTRUMPMENTIONB-25NOV06,settled,2025-11-06T01:51:47.503473Z,4008,What will Trump say during his interview on Fox?,Mentions,KXTRUMPMENTIONB,2025-11-06T01:51:47.503473Z
KXMAMDANIMENTION-25NOV06-SOCI,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:33:22.166815Z,2491,What will Mamdani say during the press conference?,Mentions,KXMAMDANIMENTION,2025-11-05T20:44:44.61794Z
KXMAMDANIMENTION-25NOV06-VICT,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:34:02.502155Z,2254,What will Mamdani say during the press conference?,Mentions,KXMAMDANIMENTION,2025-11-05T20:44:44.61794Z
KXMAMDANIMENTION-25NOV06-TRUM,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:34:35.720843Z,2247,What will Mamdani say during the press conference?,Mentions,KXMAMDANIMENTION,2025-11-05T20:44:44.61794Z
KXMAMDANIMENTION-25NOV06-QUEE,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:39:48.872506Z,1800,What will Mamdani say during the press conference?,Mentions,KXMAMDANIMENTION,2025-11-05T20:44:44.61794Z
KXMAMDANIMENTION-25NOV06-NYPD,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:35:30.633387Z,7310,What will Mamdani say during the press conference?,Mentions,KXMAMDANIMENTION,2025-11-05T20:44:44.61794Z
KXMAMDANIMENTION-25NOV06-MUSL,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:35:07.919953Z,2092,What will Mamdani say during the press conference?,Mentions,KXMAMDANIMENTION,2025-11-05T20:44:44.61794Z
KXMAMDANIMENTION-25NOV06-KATH,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:40:35.619032Z,1999,What will Mamdani say during the press conference?,Mentions,KXMAMDANIMENTION,2025-11-05T20:44:44.61794Z
KXMAMDANIMENTION-25NOV06-ISLA,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:34:51.99251Z,1162,What will Mamdani say during the press conference?,Mentions,KXMAMDANIMENTION,2025-11-05T20:44:44.61794Z
KXMAMDANIMENTION-25NOV06-INEQ,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:39:15.300691Z,2639,What will Mamdani say during the press conference?,Mentions,KXMAMDANIMENTION,2025-11-05T20:44:44.61794Z
KXMAMDANIMENTION-25NOV06-GROC,KXMAMDANIMENTION-25NOV06,settled,2025-11-05T20:38:26.93089Z,1892,What will Mamdani say during the press conference?,Mentions,KXMAMDANIMENTION,2025-11-05T20:44:44.61794Z
