ticker,event_ticker,category,event_time,vol_total,vol_24h,vol_4h,vol_1h,n_trades_1h,max_trade_size_1h,net_yes_volume_1h,vol_30m,n_trades_30m,max_trade_size_30m,net_yes_volume_30m,price_change_30m
KXTRUMPMENTION-25NOV07-NEW,KXTRUMPMENTION-25NOV07,Mentions,2025-11-05 21:11:28.488701+00:00,4335,4335,4078,187,1,187,-187,0,0,0,0,0.0
KXTRUMPMENTIONB-25NOV06-COMM,KXTRUMPMENTIONB-25NOV06,Mentions,2025-11-06 01:51:47.503473+00:00,4008,4008,2982,161,3,93,-161,68,2,58,-68,0.08999999999999997
KXMAMDANIMENTION-25NOV06-SOCI,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,2491,2491,1951,249,3,100,249,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-VICT,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,2254,2254,1875,23,1,23,23,23,1,23,23,-0.65
KXMAMDANIMENTION-25NOV06-TRUM,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,2247,2247,271,31,1,31,-31,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-QUEE,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,1800,1800,1388,0,0,0,0,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-NYPD,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,7310,7310,6435,11,1,11,11,11,1,11,11,-0.09999999999999999
KXMAMDANIMENTION-25NOV06-MUSL,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,2092,2092,1464,0,0,0,0,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-KATH,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,1999,1999,1639,0,0,0,0,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-ISLA,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,1162,1162,1056,0,0,0,0,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-INEQ,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,2639,2639,1963,0,0,0,0,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-GROC,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,1892,1892,92,0,0,0,0,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-FREE,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,2021,2021,1906,0,0,0,0,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-FIVE,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,1821,1821,121,0,0,0,0,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-DOUB,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,2441,2441,6,0,0,0,0,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-CUOM,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,6342,6342,5136,0,0,0,0,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-BILL,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,1743,1743,1426,0,0,0,0,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-BERN,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,1076,1076,782,0,0,0,0,0,0,0,0,0.0
KXMAMDANIMENTION-25NOV06-ADAM,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,2030,2030,465,0,0,0,0,0,0,0,0,0.0
KXWTAMATCH-25NOV05RYBALE-RYB,KXWTAMATCH-25NOV05RYBALE,Sports,2025-11-05 15:31:02.651018+00:00,48343,48343,48343,48294,163,3000,506,38714,96,3000,-6346,0.12
KXWTAMATCH-25NOV05RYBALE-ALE,KXWTAMATCH-25NOV05RYBALE,Sports,2025-11-05 15:31:02.651018+00:00,32490,32490,32490,32395,195,1500,11085,22706,114,1500,4008,-0.4
KXNCAAMBTOTAL-25NOV05DSUTEM-169,KXNCAAMBTOTAL-25NOV05DSUTEM,Sports,2025-11-06 02:31:14.320411+00:00,200,200,200,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05DSUTEM-166,KXNCAAMBTOTAL-25NOV05DSUTEM,Sports,2025-11-06 02:31:14.320411+00:00,200,200,200,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05DSUTEM-163,KXNCAAMBTOTAL-25NOV05DSUTEM,Sports,2025-11-06 02:31:14.320411+00:00,200,200,200,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05DSUTEM-160,KXNCAAMBTOTAL-25NOV05DSUTEM,Sports,2025-11-06 02:31:14.320411+00:00,200,200,200,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05DSUTEM-157,KXNCAAMBTOTAL-25NOV05DSUTEM,Sports,2025-11-06 02:31:14.320411+00:00,200,200,200,180,2,179,-180,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05DSUTEM-154,KXNCAAMBTOTAL-25NOV05DSUTEM,Sports,2025-11-06 02:31:14.320411+00:00,729,729,607,198,1,198,-198,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05DSUTEM-151,KXNCAAMBTOTAL-25NOV05DSUTEM,Sports,2025-11-06 02:31:14.320411+00:00,395,395,250,200,2,199,-200,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05DSUTEM-148,KXNCAAMBTOTAL-25NOV05DSUTEM,Sports,2025-11-06 02:31:14.320411+00:00,244,244,244,244,6,190,-238,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05DSUTEM-145,KXNCAAMBTOTAL-25NOV05DSUTEM,Sports,2025-11-06 02:31:14.320411+00:00,300,300,300,200,2,199,200,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05DSUTEM-142,KXNCAAMBTOTAL-25NOV05DSUTEM,Sports,2025-11-06 02:31:14.320411+00:00,349,349,349,249,2,200,151,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05DSUTEM-139,KXNCAAMBTOTAL-25NOV05DSUTEM,Sports,2025-11-06 02:31:14.320411+00:00,722,722,722,701,4,500,699,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM8,KXNCAAMBSPREAD-25NOV05DSUTEM,Sports,2025-11-06 02:31:15.663169+00:00,523,523,523,450,3,200,450,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM5,KXNCAAMBSPREAD-25NOV05DSUTEM,Sports,2025-11-06 02:31:15.663169+00:00,250,250,250,250,2,200,250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM32,KXNCAAMBSPREAD-25NOV05DSUTEM,Sports,2025-11-06 02:31:15.663169+00:00,250,250,250,250,2,200,-250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM29,KXNCAAMBSPREAD-25NOV05DSUTEM,Sports,2025-11-06 02:31:15.663169+00:00,250,250,250,250,3,199,-250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM26,KXNCAAMBSPREAD-25NOV05DSUTEM,Sports,2025-11-06 02:31:15.663169+00:00,615,615,615,250,3,199,-250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM23,KXNCAAMBSPREAD-25NOV05DSUTEM,Sports,2025-11-06 02:31:15.663169+00:00,250,250,250,250,2,200,-250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM20,KXNCAAMBSPREAD-25NOV05DSUTEM,Sports,2025-11-06 02:31:15.663169+00:00,393,393,393,250,2,200,-250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM2,KXNCAAMBSPREAD-25NOV05DSUTEM,Sports,2025-11-06 02:31:15.663169+00:00,250,250,250,250,2,200,250,0,0,0,0,0.0
