ticker,event_ticker,category,event_time,vol_total,vol_24h,vol_4h,vol_1h,n_trades_1h,max_trade_size_1h,net_yes_volume_1h,vol_30m,n_trades_30m,max_trade_size_30m,net_yes_volume_30m,price_change_30m,z_vol_30m,z_vol_1h,z_max_trade_size_1h,z_price_change_30m,flag_volume_spike_30m,flag_big_trade_1h,flag_price_jump_30m,suspicion_score
KXALEAGUEGAME-25NOV08WPHAUC-AUC,KXALEAGUEGAME-25NOV08WPHAUC,Sports,2025-11-08 08:05:02.515323+00:00,58008,58008,58008,41538,639,1703,4626,28530,361,1703.0,3638,0.12,13.089589328722463,13.743288203474929,3.799575463978285,0.9753230347059045,True,True,False,15.085377060711606
KXLIGAMXGAME-25NOV07MAZNCX-MAZ,KXLIGAMXGAME-25NOV07MAZNCX,Sports,2025-11-08 05:20:05.378376+00:00,27376,27376,27227,24465,383,839,6779,20262,319,839.0,2800,0.2799999999999999,9.236177902831725,7.999686135038199,1.7538778781379745,2.2175749496314316,True,False,True,10.337116841900713
KXKLEAGUEGAME-25NOV08DAGGWA-TIE,KXKLEAGUEGAME-25NOV08DAGGWA,Sports,2025-11-08 07:00:13.160823+00:00,13617,13617,13617,13416,77,2500,3286,13097,65,2500.0,2967,-0.18,5.896834305044217,4.282644065445426,5.686636778694405,-1.353899305779459,True,True,True,8.88415269439142
KXBIDENMENTION-25NOV08-PELO,KXBIDENMENTION-25NOV08,Mentions,2025-11-08 15:00:00+00:00,18743,18743,9351,9351,5,6832,9351,0,0,0.0,0,0.0,-0.20719683246073933,2.915119763436681,15.943537174365963,0.04363409851175914,False,True,False,7.971768587182981
KXJLEAGUEGAME-25NOV08REYNGE-REY,KXJLEAGUEGAME-25NOV08REYNGE,Sports,2025-11-08 08:55:03.332970+00:00,19675,19675,19675,15643,175,1000,5183,11933,116,1000.0,3203,0.17,5.354336615187321,5.031838806053907,2.1350784699438656,1.363526758120132,True,False,True,6.557875850159253
KXLIGAMXGAME-25NOV07MAZNCX-TIE,KXLIGAMXGAME-25NOV07MAZNCX,Sports,2025-11-08 05:20:05.378376+00:00,12485,12485,12285,10340,80,2000,4286,8969,60,2000.0,3117,0.0299999999999999,3.972924971943472,3.2478335481074434,4.502784009110892,0.2765563325602947,True,True,False,6.248316976498917
KXLIGAMXGAME-25NOV07JUAQUE-QUE,KXLIGAMXGAME-25NOV07JUAQUE,Sports,2025-11-08 03:05:16.269440+00:00,16440,16440,16440,12465,77,1422,1871,9414,63,1422.0,2114,0.59,4.180323143753024,3.9627140257872915,3.1342502074723506,4.624438034799641,True,True,True,6.219448247489199
KXKLEAGUEGAME-25NOV08DAGGWA-DAG,KXKLEAGUEGAME-25NOV08DAGGWA,Sports,2025-11-08 07:00:13.160823+00:00,11245,11245,11245,9394,72,1000,4294,9253,66,1000.0,4153,-0.88,4.105286951255636,2.929585580161497,2.1350784699438656,-6.788751433578642,True,False,True,5.876826186227568
KXJLEAGUEGAME-25NOV08KAWFAG-TIE,KXJLEAGUEGAME-25NOV08KAWFAG,Sports,2025-11-08 08:00:18.722374+00:00,13789,13789,13789,12317,186,1000,6103,8899,83,1000.0,2799,0.25,3.940300540422868,3.9129247031065306,2.1350784699438656,1.9846527155828957,True,False,True,5.207839775394801
KXKLEAGUEGAME-25NOV08JEODAJ-JEO,KXKLEAGUEGAME-25NOV08JEODAJ,Sports,2025-11-08 09:34:55.359499+00:00,13344,13344,13344,9419,106,1000,5841,8214,65,1000.0,4884,-0.38,3.6210471748283886,2.937995938722436,2.1350784699438656,-2.9067141994363683,True,False,True,4.992586409800322
KXJLEAGUEGAME-25NOV08VERAVI-TIE,KXJLEAGUEGAME-25NOV08VERAVI,Sports,2025-11-08 07:00:12.032613+00:00,8075,8075,8075,8075,33,1000,6885,8075,33,1000.0,6885,0.0,3.556264375094618,2.4858550624863347,2.1350784699438656,0.04363409851175914,True,False,False,4.623803610066551
KXKLEAGUEGAME-25NOV08GISGAW-GAW,KXKLEAGUEGAME-25NOV08GISGAW,Sports,2025-11-08 09:30:03.420985+00:00,14373,14373,14373,10110,189,892,1756,6826,107,892.0,4262,0.54,2.9741513041055603,3.170458249346801,1.8793662717138269,4.236234311385414,False,False,True,4.3458344399624735
KXALEAGUEGAME-25NOV08WPHAUC-WPH,KXALEAGUEGAME-25NOV08WPHAUC,Sports,2025-11-08 08:05:02.515323+00:00,22545,22545,22545,9541,109,935,4021,6937,58,935.0,2887,-0.29,3.0258843312310892,2.9790384884998207,1.9811776098980092,-2.2079474972907587,True,False,True,4.2484731361800945
KXJLEAGUEGAME-25NOV08KAWFAG-KAW,KXJLEAGUEGAME-25NOV08KAWFAG,Sports,2025-11-08 08:00:18.722374+00:00,11719,11719,11719,8070,122,902,548,6395,67,902.0,-829,-0.3599999999999999,2.773278018600129,2.4841729907741468,1.9030433271054972,-2.7514327100706764,False,False,True,4.0127996821528775
KXALEAGUEGAME-25NOV08VICMEL-MEL,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08 10:40:31.145270+00:00,28940,28940,28717,15261,140,1105,8337,5354,40,841.0,4182,0.47,2.288106115558008,4.903328527242753,2.3836875515564033,3.6927490986054954,False,False,True,3.8559498913362096
KXLIGAMXGAME-25NOV07TIJATL-TIJ,KXLIGAMXGAME-25NOV07TIJATL,Sports,2025-11-08 05:10:01.272504+00:00,10907,10907,10825,8962,64,1053,7328,5523,28,1053.0,4295,0.36,2.3668708145148942,2.784254584228464,2.2605668635197183,2.8387009070941955,False,False,True,3.7851542462747534
KXSAUDIPLGAME-25NOV08NEOALN-TIE,KXSAUDIPLGAME-25NOV08NEOALN,Sports,2025-11-08 15:50:49.839506+00:00,7825,7825,7819,4540,40,2339,1708,2408,4,2339.0,2408,-0.15,0.9150836118480286,1.296630361969505,5.305436186888514,-1.1209770717309229,False,True,False,3.6878017052922853
KXKLEAGUEGAME-25NOV08JEODAJ-TIE,KXKLEAGUEGAME-25NOV08JEODAJ,Sports,2025-11-08 09:34:55.359499+00:00,6436,6436,6436,5357,47,800,1551,4583,29,800.0,813,0.5700000000000001,1.9287713055239297,1.571480879741004,1.6615373621104605,4.46915654543395,False,False,True,3.21553998657916
