ticker,event_ticker,category,event_time,vol_total,vol_24h,vol_4h,vol_1h,n_trades_1h,max_trade_size_1h,net_yes_volume_1h,vol_30m,n_trades_30m,max_trade_size_30m,net_yes_volume_30m,price_change_30m,z_vol_30m,z_vol_1h,z_max_trade_size_1h,z_price_change_30m,flag_volume_spike_30m,flag_big_trade_1h,flag_price_jump_30m,suspicion_score
KXWTAMATCH-25NOV05RYBALE-RYB,KXWTAMATCH-25NOV05RYBALE,Sports,2025-11-05 15:31:02.651018+00:00,48343,48343,48343,48294,163,3000,506,38714,96,3000,-6346,0.12,10.793179010381005,9.595620507868801,3.625931929621083,0.48713477109836917,True,True,False,12.702144975191546
KXWTAMATCH-25NOV05RYBALE-ALE,KXWTAMATCH-25NOV05RYBALE,Sports,2025-11-05 15:31:02.651018+00:00,32490,32490,32490,32395,195,1500,11085,22706,114,1500,4008,-0.4,6.224583269461451,6.321703437928104,1.4966797482880634,-1.6514053806209383,True,False,True,7.292923143605483
KXNBASPREAD-25NOV05WASBOS-BOS25,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,27877,27877,27638,25917,43,2500,17641,15481,27,2500,10153,0.26,4.1626077429657125,4.9877557192617825,2.916181202510076,1.0628955811766443,True,False,True,5.828698344220751
KXNBATOTAL-25NOV05UTADET-215,KXNBATOTAL-25NOV05UTADET,Sports,2025-11-06 02:50:21.691384+00:00,16571,16571,15648,11583,46,5000,-8283,8326,16,5000,-7150,-0.52,2.120609834027718,2.0361029561615904,6.464934838065108,-2.1449146464023174,False,True,True,5.7690772530602725
KXNBATOTAL-25NOV05PHICLE-236,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,55246,55246,46054,8440,20,5000,4180,7204,6,5000,3250,0.55,1.8003971640307326,1.3888973865771126,6.464934838065108,2.2555429734816426,False,True,True,5.472864583063287
KXNBATOTAL-25NOV05PHICLE-224,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,6293,6293,6193,5224,4,4175,-4224,49,1,49,-49,0.26,-0.24160074490726194,0.7266596799962406,5.293846138331948,1.0628955811766443,False,True,True,2.854923069165974
KXNBASPREAD-25NOV05WASBOS-BOS19,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,12189,12189,11989,6464,13,2120,1766,4212,10,500,4000,0.52,0.9464967107054384,0.9820000892500595,2.3767706499057115,2.132165657036298,False,False,True,2.550882035658294
KXNBASPREAD-25NOV05UTADET-DET10,KXNBASPREAD-25NOV05UTADET,Sports,2025-11-06 02:50:20.874607+00:00,58493,58493,27199,13552,56,2500,5210,3861,27,500,1837,-0.2799999999999999,0.8463232283801783,2.441558815694469,2.916181202510076,-1.1578961148395592,False,False,True,2.528413829635216
KXNBASPREAD-25NOV05BKNIND-IND6,KXNBASPREAD-25NOV05BKNIND,Sports,2025-11-06 02:55:08.052898+00:00,30793,30793,19150,5496,18,1895,2850,4366,7,1895,3356,-0.48,0.9904474693324756,0.7826698342841751,2.0573828227057587,-1.980411557808524,False,False,True,2.4031388806853546
KXNBASPREAD-25NOV05PHICLE-CLE13,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,18486,18486,16620,7112,39,1035,2032,6153,24,1035,1701,0.44,1.5004475061280307,1.115436045053668,0.8366115720748277,1.8031594798487123,False,False,True,2.2707532921654443
