ticker,created_time,price,count,taker_side,trade_id,event_ticker,category,event_time,created_time_dt,event_time_dt,seconds_before_event,minutes_before_event
KXNCAAFTOTAL-25NOV08LSUALA-40,2025-11-09T04:01:51.7151Z,0.02,93,yes,9562ea1a-2f42-7ec4-6b05-5f50e5d014dd,KXNCAAFTOTAL-25NOV08LSUALA,Sports,2025-11-09T05:39:30.606528Z,2025-11-09 04:01:51.715100+00:00,2025-11-09 05:39:30.606528+00:00,5858.891428,97.64819046666666
KXNCAAFTOTAL-25NOV08LSUALA-40,2025-11-09T04:01:09.939696Z,0.01,188,no,0d6976e1-2b22-775c-a4db-f287d4acc5ac,KXNCAAFTOTAL-25NOV08LSUALA,Sports,2025-11-09T05:39:30.606528Z,2025-11-09 04:01:09.939696+00:00,2025-11-09 05:39:30.606528+00:00,5900.666832,98.3444472
KXNCAAFTOTAL-25NOV08LSUALA-40,2025-11-09T04:00:54.612053Z,0.01,35,no,13227972-3262-74a0-27ce-58271ad29c14,KXNCAAFTOTAL-25NOV08LSUALA,Sports,2025-11-09T05:39:30.606528Z,2025-11-09 04:00:54.612053+00:00,2025-11-09 05:39:30.606528+00:00,5915.994475,98.59990791666668
KXNCAAFTOTAL-25NOV08LSUALA-40,2025-11-09T03:59:32.517704Z,0.01,47,no,41f9320b-5486-6634-c3ed-465e8f34aec0,KXNCAAFTOTAL-25NOV08LSUALA,Sports,2025-11-09T05:39:30.606528Z,2025-11-09 03:59:32.517704+00:00,2025-11-09 05:39:30.606528+00:00,5998.088824,99.96814706666667
KXNCAAFTOTAL-25NOV08LSUALA-40,2025-11-09T03:59:12.589367Z,0.01,22,no,ff95fd39-2dbe-470c-a6a1-6b9f002cda68,KXNCAAFTOTAL-25NOV08LSUALA,Sports,2025-11-09T05:39:30.606528Z,2025-11-09 03:59:12.589367+00:00,2025-11-09 05:39:30.606528+00:00,6018.017161,100.30028601666666
KXNCAAFTOTAL-25NOV08LSUALA-40,2025-11-09T03:55:57.705639Z,0.03,50,no,5546a236-5299-4cac-49cd-f51aa5aa32f1,KXNCAAFTOTAL-25NOV08LSUALA,Sports,2025-11-09T05:39:30.606528Z,2025-11-09 03:55:57.705639+00:00,2025-11-09 05:39:30.606528+00:00,6212.900889,103.54834815
KXNCAAFTOTAL-25NOV08LSUALA-40,2025-11-09T03:54:54.234167Z,0.03,36,no,66014c16-3781-7a18-8c3a-301beb33b46d,KXNCAAFTOTAL-25NOV08LSUALA,Sports,2025-11-09T05:39:30.606528Z,2025-11-09 03:54:54.234167+00:00,2025-11-09 05:39:30.606528+00:00,6276.372361,104.60620601666666
KXNCAAFTOTAL-25NOV08LSUALA-40,2025-11-09T03:44:44.795716Z,0.01,8,no,493642cf-1696-6fdc-f5d9-4252265ceafc,KXNCAAFTOTAL-25NOV08LSUALA,Sports,2025-11-09T05:39:30.606528Z,2025-11-09 03:44:44.795716+00:00,2025-11-09 05:39:30.606528+00:00,6885.810812,114.76351353333332
KXNCAAFTOTAL-25NOV08LSUALA-40,2025-11-09T03:25:25.266512Z,0.02,10,no,cee92e4a-28ff-4b65-d852-f47ec9426f55,KXNCAAFTOTAL-25NOV08LSUALA,Sports,2025-11-09T05:39:30.606528Z,2025-11-09 03:25:25.266512+00:00,2025-11-09 05:39:30.606528+00:00,8045.340016,134.08900026666666
KXNCAAFTOTAL-25NOV08LSUALA-40,2025-11-09T03:19:10.584871Z,0.15,11,no,66fb11b1-26ae-6ec4-10d0-92ff7209c2a3,KXNCAAFTOTAL-25NOV08LSUALA,Sports,2025-11-09T05:39:30.606528Z,2025-11-09 03:19:10.584871+00:00,2025-11-09 05:39:30.606528+00:00,8420.021657,140.33369428333333
