ticker,created_time,price,count,taker_side,trade_id
KXCS2MAP-MOUVIT25-MOU,2025-11-08T16:22:00.689295Z,0.01,173,yes,75816282-4996-4c50-9062-49226713f0fb
KXCS2MAP-MOUVIT25-MOU,2025-11-08T08:50:46.94982Z,0.01,14,yes,334bc0a2-04e0-555d-ae2b-8cd66d538ea1
KXCS2MAP-MOUVIT25-MOU,2025-11-08T08:49:22.584792Z,0.01,3,yes,de6aecae-2104-5559-07da-40288f51441d
KXCS2MAP-MOUVIT25-MOU,2025-11-08T08:12:38.405546Z,0.01,467,yes,2b54f364-d08c-5809-f5e7-cb23bd9b2325
KXCS2MAP-MOUVIT25-MOU,2025-11-08T08:05:24.549662Z,0.01,1402,yes,c2809e65-6c5c-7b79-486c-6fee1782e82d
KXCS2MAP-MOUVIT25-MOU,2025-11-08T08:02:51.746417Z,0.01,48,yes,415ab5ee-4a94-48a9-9d91-8a3a182e8b5d
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:49:26.381571Z,0.01,93,yes,4a844784-55d0-4a8d-4135-3bb87d353279
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:35:22.658583Z,0.01,5,yes,39c10948-4780-54b1-b937-3ec1f00efdfd
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:35:09.967408Z,0.01,57,yes,9fedca1a-86a4-6ff9-a232-8426ed6ac4ad
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:35:08.102472Z,0.01,10,yes,231ba33a-2fa8-57f1-998c-8ae61c1dc53d
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:34:02.883128Z,0.05,8,no,75ba1cf7-3af0-5f73-0972-377041c755c7
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:34:02.744652Z,0.09,1,yes,29a2f51c-a315-6c34-bafb-212c6ce9cd76
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:33:55.797866Z,0.09,8,yes,fe62d30c-dc61-633c-055e-963ab5936176
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:33:50.32499Z,0.09,69,yes,f39cd6e4-5565-46fc-987f-07c1b8c5138a
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:33:44.310105Z,0.09,50,yes,70850242-d751-4278-614d-bd5ce79e4da6
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:31:27.291669Z,0.01,200,yes,a7ea2b00-e7ba-5900-5128-ad4d6741c1d4
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:31:10.22454Z,0.01,200,no,bfa0ad6d-6e4f-40be-8bec-1efade466811
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:31:10.22454Z,0.02,100,no,b7f3895b-23db-44a2-b178-021edf0aee96
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:31:10.22454Z,0.01,194,no,7e09e32d-95d5-496c-97b1-b3bc3fe61abf
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:29:50.873366Z,0.3,100,yes,7f341f45-fdca-5add-5fd9-4f9ebccc2131
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:29:46.281294Z,0.32,104,yes,cde27e26-3725-4a2f-b9ab-8f96f9cf6be8
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:29:34.633385Z,0.22,176,yes,1f5fed5b-3d28-6339-964d-f11b00e9b779
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:29:04.330343Z,0.22,28,no,907ac4a5-324b-6c28-f499-9a940eecd06f
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:29:03.823778Z,0.22,163,no,a736b7bb-b37b-713c-88c6-8d1d52c25e0f
KXCS2MAP-MOUVIT25-MOU,2025-11-08T07:28:59.738245Z,0.22,470,no,e1e0a528-6da4-785d-36eb-fd8dbea9da49
