ticker,created_time,price,count,taker_side,trade_id
KXDOGED-25NOV0817-T0.1749999,2025-11-08T21:20:19.492645Z,0.67,111,yes,90d194f3-63a4-707b-b13b-cbbc8aa940ac
KXDOGED-25NOV0817-T0.1749999,2025-11-08T21:02:02.300526Z,0.77,66,yes,8956f66b-8c01-47e5-e03b-b730b9e6d4a5
KXDOGED-25NOV0817-T0.1749999,2025-11-08T21:01:25.484073Z,0.74,1,yes,b0147855-3f8c-5d11-f106-cea4d8ce6de8
KXDOGED-25NOV0817-T0.1749999,2025-11-08T20:48:43.824176Z,0.71,13,yes,176301bd-901d-4684-ce16-2da487308c40
KXDOGED-25NOV0817-T0.1749999,2025-11-08T20:33:00.478229Z,0.62,180,yes,a56cdeb4-779e-55d0-fb90-a5f8c79925ea
KXDOGED-25NOV0817-T0.1749999,2025-11-08T19:59:32.712833Z,0.53,2,yes,8c444623-3878-5f43-7be3-714376039bc3
KXDOGED-25NOV0817-T0.1749999,2025-11-08T19:53:52.101117Z,0.43,164,no,4affa3e9-25c4-7629-5c81-2ed994597c66
KXDOGED-25NOV0817-T0.1749999,2025-11-08T19:39:47.91747Z,0.41,16,no,c0be093d-0dec-7cc9-effe-ce9516842c8b
KXDOGED-25NOV0817-T0.1749999,2025-11-08T19:36:58.393134Z,0.42,114,yes,ec401a60-ca48-647e-a6ea-e1495afb4d09
KXDOGED-25NOV0817-T0.1749999,2025-11-08T17:56:05.14249Z,0.46,104,yes,61d191be-f2c7-46d5-63e1-8a8023f408bc
KXDOGED-25NOV0817-T0.1749999,2025-11-08T16:34:49.762968Z,0.46,4,yes,54dd56a3-5cf0-616b-af07-0756f007d29c
