ticker,created_time,price,count,taker_side,trade_id
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:02:46.298764Z,0.01,187,yes,3ca4d0b4-af4a-4edd-f88b-fae70cc00759
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:02:08.430482Z,0.01,46,yes,ed54675d-f54e-78c1-0dda-33e6d2f3ce4d
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:01:05.267015Z,0.04,20,yes,804c36bd-f0c2-6ee3-6783-c69a4166b17b
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:01:05.267015Z,0.09,1,yes,5c233042-025a-68d4-43d8-bccb6643eed9
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:00:28.633942Z,0.01,33,no,ba4b4e3a-fab9-4aef-ccb0-f32ba4b4be17
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:00:28.633942Z,0.01,78,no,1d38b3b3-8045-40ac-ccee-ec9beae6ff6c
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:00:28.62816Z,0.01,40,no,e49b49e5-aa41-5618-541d-848f9ae17524
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:00:28.62816Z,0.01,10,no,7607d969-15d1-5e13-75ff-2b850a584063
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:00:21.118214Z,0.01,2,no,a9b8fd36-be9d-49f4-2f18-4951f922929c
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:00:20.38623Z,0.06,215,yes,ec0a6ca0-eef2-6753-2f4c-332f68a9d5b7
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:00:20.38623Z,0.04,263,yes,3a6ea0da-e42e-6ca2-1042-2b6d0c958921
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:00:17.846015Z,0.04,117,yes,2fd7e959-2a98-5715-c3a4-8dd128526e0f
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:00:12.820677Z,0.04,234,yes,87b3dcad-bf04-50d6-42b1-b1f70632e24f
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T08:00:10.32445Z,0.04,23,yes,3c1fe4b1-6504-6fbe-8902-f36f352b35d7
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:59:04.627206Z,0.01,50,no,37477a22-2179-7cec-a83f-5e3e12620730
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:59:04.605366Z,0.01,50,no,a0b10662-617d-6760-f782-53f5b1049000
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:59:04.566569Z,0.01,46,no,37db91f9-caa1-5770-f763-454699b7eba0
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:59:04.564149Z,0.01,50,no,fd0a34d9-284d-6f74-23a8-7a1155f48e98
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:59:04.562248Z,0.01,50,no,8dd5ae74-2951-762c-7adf-a85c803555e0
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:59:02.977711Z,0.01,2,no,bc9b11d4-8f89-7640-6f49-ee6c9158fec4
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:58:40.39988Z,0.15,27,yes,74c8c5f2-ddfd-43a0-e89d-9c8e7cba7cdb
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:58:27.881861Z,0.17,9,yes,7f526269-9799-7fac-069b-5cddb73a95b3
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:58:25.441056Z,0.17,1,yes,a8ec1d35-4a51-49d0-d366-945e4308f033
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:58:17.815078Z,0.01,137,no,b3c4b052-3ba5-5470-09f1-3c014611c644
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:58:15.892947Z,0.01,12,no,411c3227-0741-4984-8fa8-5bf951c6b188
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:58:15.876337Z,0.01,50,no,3a733e21-d001-705c-956e-4ce7e8bb7a04
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:58:11.694507Z,0.18,1,yes,d8e829e8-bcb5-4688-79ed-885c427aa2f2
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:58:04.789789Z,0.09,79,yes,e3ac445f-9439-52a8-7fe1-f3e28a00244a
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:58:04.789789Z,0.08,26,yes,9dafddc7-cee6-57ce-5e42-539ffd04deb6
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:58:04.789789Z,0.07,138,yes,7e7724b2-3c52-5330-5469-b37ea4460ed8
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:58:04.789789Z,0.08,116,yes,629f1432-db73-5848-526c-551b317901ef
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:57:49.387799Z,0.09,10,yes,0f90a28a-c1c5-4e14-77a2-6afb08d6735e
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:57:48.744637Z,0.01,4,no,cc8bd24d-ce19-5e8c-dd1d-ead6358d38a8
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:57:48.737111Z,0.01,7,no,f1da5225-8001-73e8-9832-be80b0f13d8c
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:57:45.904694Z,0.02,21,no,31091b4d-e6ad-5292-e33b-c642476acc85
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:57:31.196189Z,0.02,12,no,b31f3db5-8d39-598e-dd33-dab01e26ce5d
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:57:28.809292Z,0.03,10,no,c3e52ace-d191-7118-18f4-e7efde28cee8
KXJLEAGUEGAME-25NOV09GAMVIK-GAM,2025-11-09T07:55:57.940184Z,0.17,174,yes,f41afa5b-5afc-7d24-1001-da5df2de5b68
