ticker,created_time,price,count,taker_side,trade_id
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-09T00:42:13.208641Z,0.1,8,yes,8fd15b3c-3c70-667c-ca75-d74c21bc08d3
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-09T00:42:13.208641Z,0.02,2,yes,0af77278-0fb6-6562-faa8-076f8baa94d9
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-09T00:11:51.332411Z,0.01,4,no,9391f2c2-d0a7-53eb-f05d-3ca62f110a04
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-09T00:02:48.535248Z,0.01,5,no,1381d728-74d3-5b0f-1ba7-f4389c3de913
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:58:43.781648Z,0.01,8,yes,f70cae90-1d37-5751-8e73-153ef3bcf19a
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:47:03.600921Z,0.88,16,yes,ce691090-7e1b-7c94-928f-e8925306c2d1
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:47:03.600921Z,0.05,50,yes,917b00f0-9b9b-779b-bd7b-c38b3b01c201
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:47:03.600921Z,0.6,5,yes,6a8e4893-2d63-7c0e-83d2-39d899ee8e70
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:41:02.573494Z,0.01,12,no,a3639e10-981e-44d1-fe68-2a7b08587263
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:41:02.573494Z,0.01,41,no,97dfd12e-12ce-422d-eae7-3a535ab2f976
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:41:02.573494Z,0.01,1,no,8f67450c-68f9-4207-df46-f83ae580a226
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:41:02.573494Z,0.02,338,no,671525ac-996d-4b5d-db37-ad79a5a819eb
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:41:02.573494Z,0.01,104,no,543fd798-2ce4-402e-c79b-56d51f073db9
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:41:02.573494Z,0.02,13,no,249868f4-d3da-4e0e-e691-0ae06d9538b2
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:39:27.276739Z,0.02,47,no,b096c927-76c1-5fcd-5edd-2280725d5983
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:39:10.332157Z,0.02,115,no,c2bf14e8-cbd9-636d-2934-c0c2f2de11c3
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:39:10.332157Z,0.03,4,no,adec2c3a-ee4b-6ed8-3f34-38f54fa044e4
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:39:10.332157Z,0.03,25,no,751daa18-cbd5-6b5f-3eb2-2490eceaaf90
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:38:38.950857Z,0.03,92,no,355140c2-a29b-58bc-99fb-5f27674795c0
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:38:21.823538Z,0.03,31,no,21b7e373-702b-5bf0-1de4-08a900edf290
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:37:48.091261Z,0.03,73,no,b45b280f-46af-64ec-2030-a3d3785819ac
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:37:48.091261Z,0.04,50,no,274d2ef4-cfa4-6c24-2766-6d668f510429
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:37:04.136374Z,0.06,9,yes,f89ea1e6-7712-4af7-7842-53f555fa39d5
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:37:04.136374Z,0.05,82,yes,5a7a989d-f95d-49d1-57ec-31780cabb91f
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:35:46.043646Z,0.05,18,yes,aa541bac-51d5-6a1d-1390-704217d83337
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:35:18.427557Z,0.04,300,no,02a5e1a8-4499-4085-269b-7540d88eae82
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:29:37.355825Z,0.05,50,no,d483ae27-2e8c-5a94-42a1-050b83db9094
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:28:54.937619Z,0.06,1,no,fea76852-a05a-69c0-62c9-04626e849d97
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:28:06.998118Z,0.11,278,no,32614d79-d33b-6e55-65f3-55f9933b2fa0
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:26:11.265912Z,0.13,203,yes,694e8337-82cc-7819-cf4b-451ffaaaf186
