ticker,created_time,price,count,taker_side,trade_id
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T18:47:36.845094Z,0.95,20,no,c9fd862c-6a4f-7663-14d6-5f3e59517187
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T18:47:36.845094Z,0.93,203,no,7f292c4d-6ffb-7e05-3e55-d82a41dbae4f
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T18:47:36.845094Z,0.94,55,no,5c3020f5-be26-7348-1c48-1d92fcc45e97
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T18:47:36.845094Z,0.95,5,no,263c004d-52ad-75ab-2101-ff299c09f654
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T17:30:31.548583Z,0.99,376,yes,74d1c8cb-1c65-7b97-213e-06934e722f34
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T17:29:54.29495Z,0.99,6,yes,c771acbe-afb9-6db3-f945-2eb5b493a87c
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T17:20:26.595751Z,0.99,10,yes,1994196b-b149-4f3b-cf54-a2d6c8f4c408
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T17:18:03.755679Z,0.99,398,yes,f7d34e66-4319-7c4f-eb24-07c3667808a4
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T17:18:03.755679Z,0.98,52,yes,3db52370-9fc5-7098-e1ec-4c2b81d4bcc6
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T17:15:44.720644Z,0.98,5,yes,7dba6b34-8551-4b8c-a4f7-28400cdf1342
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T17:11:54.663156Z,0.99,210,yes,7def8404-9b8d-6243-3f83-f644e853596c
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T17:10:06.466774Z,0.99,1033,no,fe8c2ff7-cbe8-4da4-c1f1-7fea54c46fc0
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T17:10:06.466774Z,0.99,552,no,b9bdb765-01af-4096-deea-94336ba90ffe
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T17:10:06.466774Z,0.75,319,no,10abef07-4d9e-4716-d533-f097140ac806
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:56:33.702707Z,0.99,467,no,6461f556-ccf0-4f18-dab5-21941e659d34
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:57.961302Z,0.99,552,yes,92ce1d03-d294-74f1-bfa7-b2225b679e05
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:57.961302Z,0.99,200,yes,70b6e4bd-8181-7f9e-9711-ac8692197216
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:57.961302Z,0.99,59,yes,3b778249-7792-7223-937f-abcc1e63c722
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:52.368173Z,0.66,14,no,9a5cc680-1ef3-4977-1394-bb28fd1f4c49
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:28.487632Z,0.97,100,yes,8e90fdc4-5fc6-54cb-b1c0-263ac2600530
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:28.487632Z,0.98,100,yes,0cc29d75-5c75-5997-b40a-838795c71c22
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:23.751434Z,0.89,9,yes,e4879e46-6de5-5b15-c8f5-0a5e6729b736
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:23.751434Z,0.9,100,yes,9635d9db-29a0-5721-c5d7-5c1849167af4
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:23.751434Z,0.6,16,yes,8a9042d8-fc35-596d-f63b-3450531b7c01
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:23.751434Z,0.95,100,yes,5757b22f-f0b4-590a-e9f5-9f8bf53ea8c1
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:23.751434Z,0.91,100,yes,26884367-70c0-5e4c-eb3c-984b534ea83a
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:23.751434Z,0.4,63,yes,0bb49b38-6ae2-59ee-cf8a-bcdcef208e34
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:20.800202Z,0.4,6,yes,ac116639-6df6-5a5e-eba8-649202de50f8
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:46:20.800202Z,0.39,6,yes,0bf993d4-001e-52fc-fade-ff9f7ac4b51b
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:39:50.103523Z,0.4,12,yes,5f5eae53-04e6-70a6-fdfe-1375a7d8442c
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:39:16.308737Z,0.4,1,yes,1fe0e72b-df86-471e-c14d-60fa936f2304
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:39:16.308737Z,0.2,20,yes,12836103-a10f-4e04-d49e-f9983f3fd835
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:36:52.246302Z,0.11,1,no,4742f094-abc4-6477-1cad-cc9df77a16fd
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:29:42.604634Z,0.1,55,no,b9f6a4bc-910a-4ea5-5608-3be9a212f86a
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:22:53.76688Z,0.1,27,no,e66359b8-92ea-4be5-f9e9-02e883f48c42
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:22:52.87468Z,0.35,20,yes,65aa65ae-fa6c-76ab-f814-465464467783
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:15:14.076131Z,0.11,2,no,2f38fbde-2e55-7334-14a8-31dccef023e0
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:12:30.057575Z,0.11,17,no,2b1bf1bb-571d-45b0-1455-62fd3c28a85c
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:11:37.614201Z,0.11,10,no,3ad2e4c8-3681-6da8-ff6f-6ae350d933a0
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:06:54.289207Z,0.36,110,no,8b6cf6ad-afed-62d4-037d-62498b7f270e
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:05:41.041041Z,0.57,100,no,703fcecb-6208-5be5-728b-1dc130a5c8c2
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:05:41.041041Z,0.41,150,no,6437208d-026f-5998-597f-c0c574df8171
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:05:33.738244Z,0.57,17,no,7b86c133-cfc9-557f-e1ba-b2c33a0884c4
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:03:38.54734Z,0.45,100,no,a4a2d99e-14dc-7a68-e2b3-8bd8f94ccc71
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:03:38.54734Z,0.61,100,no,12a19906-dd37-761e-dc84-a1c10e0b189d
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:02:24.911923Z,0.63,100,no,5b5186f3-6516-7f11-314e-d2e8721bfcaf
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T16:01:32.795914Z,0.12,10,no,68e1b7f9-6862-5dde-37d0-b82b7df91b19
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T15:56:55.730545Z,0.72,100,no,611647b5-5019-51c1-5a03-e01fa57ae843
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T15:55:17.202603Z,0.74,100,no,58438c56-9628-7bdd-fcea-0a4ffe7491e1
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T15:42:58.909604Z,0.76,49,no,6d34c8e0-7cb9-4712-fde9-920fbf77e2c9
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T15:41:04.251116Z,0.77,19,no,9e67a2c2-3baa-76f6-2c2a-2e75e378910e
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T15:41:04.251116Z,0.77,41,no,9b8a21cc-ec34-7d50-3d7b-3adc93eb0fed
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T15:38:18.705587Z,0.83,20,yes,80621bbd-61d8-75af-e1e0-840f056ba127
KXMAMDANIMENTION-25NOV06-CUOM,2025-11-05T15:38:10.986026Z,0.77,25,no,d6294a2f-93b4-69de-af5c-7e5d18673ce8
