ticker,created_time,price,count,taker_side,trade_id
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T02:26:00.558282Z,0.99,500,yes,9d28359d-565c-5948-46dc-896619f669a9
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T02:26:00.558282Z,0.98,200,yes,224dc42d-3e5e-59a7-4496-cc6c6094d3ea
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T02:19:12.919449Z,0.83,13,yes,3945c74a-22bc-5109-3609-bd29e1dc0e45
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T02:18:17.496501Z,0.87,1,yes,9be6a74a-c718-6bf5-0f53-f941ec237981
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T02:04:26.865383Z,0.71,6,no,f5df0fe8-5c13-4f81-bb85-9d7ef54d0b34
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T02:02:58.803497Z,0.63,200,yes,7c7f17f2-80c1-6185-a7cd-5ba568fe4399
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T02:02:21.652522Z,0.66,500,no,8f3fd6ae-6053-5c2c-3de9-f5f4c78e640a
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T02:02:14.925708Z,0.68,500,no,ea06b28f-2aa6-5ce0-340f-b8ed381026a9
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T02:02:14.925708Z,0.69,214,no,8780b94a-41c3-55f9-0e92-cdc65d96c965
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T01:50:16.798166Z,0.83,11,yes,fa481af1-122e-6d32-1812-8686e5765807
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T01:25:05.599589Z,0.67,46,yes,94ac3415-26a6-4422-1ac0-6ca1a226ffb7
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T01:22:06.585157Z,0.54,52,no,4cdeaa7a-395c-6c76-d01a-5cd760787420
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T01:21:03.077383Z,0.54,20,no,43c02f9d-cdec-4d22-ea80-836efe6e36c8
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T01:19:23.53557Z,0.54,2,no,c98b088f-33c4-76ea-620a-ad551063ceb0
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T01:17:35.193915Z,0.54,20,no,cfb9a063-0644-7eea-3625-9a8d889af094
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T01:14:47.062438Z,0.58,15,yes,b39f79ab-5c2a-5142-11c7-e07d9a4cd80b
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T01:13:24.144507Z,0.58,1172,yes,c044404c-2046-4952-b921-16c9fa73e52b
KXNBASPREAD-25NOV05UTADET-DET4,2025-11-06T01:11:54.497448Z,0.56,500,no,b4c697e9-72b9-4e82-c852-64a6ed1c0bf0
