ticker,created_time,price,count,taker_side,trade_id
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:24:53.448328Z,0.07,972,no,5bb260b0-c848-4a5a-f1e7-73bba85acbed
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:24:53.448328Z,0.01,500,no,57b6ae27-45cc-498a-c254-7b14147406de
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:24:53.448328Z,0.06,300,no,4314882a-d9cb-4893-d62d-c1da7255ee49
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:22:48.825725Z,0.07,28,no,0a8bf088-a070-5dbe-03a1-bcf713bbbff1
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:22:13.667626Z,0.11,200,no,d47216cf-09ef-414e-3a08-c5e055d04641
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:22:05.978104Z,0.19,215,no,3b87bd63-a830-69b2-b1db-4975c9d2def5
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:22:05.978104Z,0.19,200,no,294cd6a0-1ed8-6c49-b71b-d68424f03765
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:20:50.942051Z,0.4,19,no,993ea56b-1c68-6116-a35f-30dfd0221d32
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:20:50.942051Z,0.32,481,no,6af3a6fb-718c-6046-a9b3-ea30a7bd070d
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:19:35.687606Z,0.58,500,yes,97ee5d3c-1b02-6cb0-361d-122e084e7ea5
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:19:20.686239Z,0.5,20,no,23940829-c27a-5eb3-b840-18f704c206a2
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:19:14.247592Z,0.5,19,yes,c69cf304-df89-5b06-cfef-2892188c6728
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:19:14.247592Z,0.54,481,yes,75c23dc4-7fa6-549c-f12f-5f5a79523a39
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:19:07.095799Z,0.5,1,no,66899476-d17f-4c89-b4ac-f7ce702ee03f
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:15:36.798237Z,0.54,44,yes,69580f91-c9d1-6a95-a3bc-dd8ce7c48bff
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:14:18.107082Z,0.48,500,yes,4672148e-9080-75d9-4cb3-df84bf70f6af
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:14:14.18951Z,0.47,500,yes,357e74bf-fc3b-5b9a-cfa8-911301dc1d23
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:13:58.903272Z,0.46,500,yes,8b665d4e-1d04-7cc2-970c-20a2a20b61a8
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:12:06.402874Z,0.32,40,yes,160aae0b-ff70-6c30-6170-1a678daca57a
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:11:23.908542Z,0.36,500,no,fe79d751-3b39-6a5c-b247-4c2f6981e022
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:11:05.035986Z,0.47,500,no,b644f174-178f-4a32-b9c5-bdab05c5ca83
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:11:05.035986Z,0.48,35,no,387f6194-e14f-44c7-94aa-01bc80dc7d4f
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:10:39.293444Z,0.53,104,yes,7607487a-afe9-483b-a915-08cc05db3714
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:10:36.062576Z,0.52,416,yes,2eccc6bf-5fc0-47b9-92bd-11c3be972cbb
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:08:49.337117Z,0.42,223,yes,d602b944-e11b-7af9-3f08-ed099935be71
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:08:49.126685Z,0.42,10,yes,77142820-83cb-4251-194a-5cf7f0b362ad
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:08:48.049455Z,0.43,42,yes,3ffd8545-0503-4e76-cdbe-d291ff6027b2
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:08:33.209804Z,0.46,500,no,9bef88b6-4d4c-7757-cb03-c9df8db73d45
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T03:08:24.249257Z,0.59,101,no,fed0f134-b6d7-5536-5c20-026c70bd6918
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T02:51:54.229527Z,0.61,5,yes,df9492a1-03c5-6f09-70ef-35e062b6541d
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T02:49:03.358492Z,0.59,23,no,8a9d8c8d-a773-4e86-652e-fd7b304bb498
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T02:22:13.520364Z,0.74,13,yes,0676693a-fccc-462f-dbfd-7fc19ee8f916
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T02:09:34.624319Z,0.65,6,yes,dd834f88-a34c-59f9-f27e-fd60bc342f07
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T02:06:56.098672Z,0.58,50,no,9f951b8d-6f06-45f3-e238-f166c9de5a06
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T02:03:08.10936Z,0.7,10,no,5c461776-a4a5-53be-66c1-4014bb5452c7
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T01:52:19.996647Z,0.76,200,yes,913af659-29db-73b5-555a-7cf4209babc2
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T01:49:14.313357Z,0.73,133,yes,551fce1a-e7f8-48cd-7053-a3be802fb31c
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T01:45:36.624111Z,0.56,10,no,e14c63d1-b359-4ae2-d921-ea7925b616d7
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T01:44:49.268749Z,0.53,6,no,305455c6-ac03-5e92-3677-0bb4b460a638
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T01:43:25.188548Z,0.53,20,no,28f6a1bf-1917-6a02-3048-0e5811a7bf10
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T01:38:12.131119Z,0.6,4,no,aafa5966-7a44-465e-8daf-90485b18f42a
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T01:38:12.131119Z,0.6,77,no,10e99047-6f8b-4529-91cc-e50545b118ed
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T01:35:28.772519Z,0.68,49,yes,6a62d4bb-be23-42c0-00e1-45b9d4ab356c
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T01:18:24.263783Z,0.73,67,yes,226d830c-df60-6fb9-2405-d1cf9d856650
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T01:01:50.410414Z,0.6,23,no,65000294-24af-4071-4ad2-343684ad5c71
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T00:56:12.462337Z,0.61,7,yes,734dbf29-40cf-524c-baf8-98dfedcf802d
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-09T00:15:32.219778Z,0.61,7,yes,27930b56-aae7-5275-6618-b3c4514dda1c
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T23:48:19.514508Z,0.6,35,no,4d8b1e25-d728-43bd-84b8-e1f96c3c5810
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T23:41:43.487222Z,0.61,2,yes,5cf1bd90-9653-4599-7641-5843a377d984
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T23:35:41.688577Z,0.61,39,yes,8b7ec3cb-95df-7091-d3f2-df4cfa00c4d4
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T23:23:45.470924Z,0.61,30,yes,fd5426f0-d253-5c35-5be4-2a276bb69efc
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T22:51:49.723526Z,0.61,80,yes,4a256fdb-1cb7-6855-595f-6546dfc9b014
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T22:49:53.248547Z,0.6,1838,yes,c51e2251-aad1-5d8d-244c-50cba81d7bd7
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T22:49:53.248547Z,0.6,162,yes,b11538ec-75ab-5368-3b74-c94af0786677
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T22:49:53.248547Z,0.61,3664,yes,3ac7179a-ca07-5a8d-0159-9601bf2a9960
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T22:41:53.416486Z,0.6,162,yes,2c0a7af0-0421-6ea9-3d4c-fbd54bb0bcbf
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T22:19:36.382299Z,0.61,1,yes,85b89847-d1f7-718d-54e0-4cbc6d419e50
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T22:01:41.353535Z,0.61,15,yes,f6385491-eeab-5f8d-38f2-b1cb82ba1944
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T20:43:59.27735Z,0.61,22,yes,26d70a65-ebcb-7525-2007-5ae0d5fb7ce4
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T20:14:39.228855Z,0.61,75,yes,0ba3b398-5e06-4526-f4b0-11f24a978899
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T19:24:22.867462Z,0.61,5,yes,90019d3d-e8fa-5caa-f11e-759c314faa2d
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T19:17:02.794905Z,0.61,10,yes,e39a9b03-067a-71f2-b609-6b78023c8321
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T18:20:15.920686Z,0.61,39,yes,c7df8914-5d86-4708-d84c-1cf4d595a603
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T17:18:10.079195Z,0.6,415,yes,f1298fff-cf0c-7ffb-f2e3-a8f9fd542181
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T16:26:09.290091Z,0.6,50,yes,c4c5a550-36f0-6ccb-49df-ec837cd3c2e9
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T15:03:07.185894Z,0.61,79,yes,4c6d1248-5b40-4999-e835-49584cd31f72
KXNBASPREAD-25NOV08NOPSAS-SAS8,2025-11-08T12:10:41.466447Z,0.61,10,yes,daae8888-5aa2-71e3-3d1e-76cbe2bcb804
