ticker,created_time,price,count,taker_side,trade_id
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T02:39:23.917677Z,0.01,2,yes,7b6dbd56-8287-69cc-4ff1-163e07af0068
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T02:37:29.589566Z,0.01,102,yes,0018615e-3937-5988-5a57-3ef4db461374
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T02:33:48.951573Z,0.01,387,no,6c7400e1-857f-70c0-330b-5234690a1d25
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T02:33:45.501028Z,0.01,10,no,071a26c0-cc77-49d8-528f-54ce6a7647ed
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T02:33:19.400935Z,0.01,5,no,3eb89550-1a03-46b0-78e9-52eb28c1592d
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T02:33:14.785473Z,0.01,98,no,5658e42f-f693-7868-adaa-283fb8784075
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T02:05:15.977345Z,0.16,58,no,f3391d29-1341-4d02-0c4f-d7966af3b7b2
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:56:13.408662Z,0.41,23,yes,5da452f0-79dc-7a8a-f799-6277e31423ea
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:55:54.381208Z,0.38,81,yes,0f7c3618-2232-59af-56f3-6340e0d0c390
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:55:08.605907Z,0.33,102,no,30482e0c-ab68-7f11-5f62-1b35570f0045
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:53:55.697362Z,0.39,236,yes,d79d2680-b23d-50b5-941e-3f7c338e5f57
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:36:31.890652Z,0.57,15,no,edf799b3-01bd-4f41-93cd-f394ab771d14
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:32:33.615781Z,0.62,15,yes,05cf766d-1bd6-71ac-0b11-2799587e6e39
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:24:26.763864Z,0.5,386,no,f15f3691-4ba9-6aa4-ecff-c115080e15aa
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:19:50.041535Z,0.49,236,no,1a8db3a4-025a-66c4-25d5-6388450060bd
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:13:18.20235Z,0.48,9,no,3cc0ff07-e91c-71b5-1e63-28c234e35d04
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:06:18.067786Z,0.53,21,no,109265d3-a4a2-6364-1700-2a21901f11f4
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:06:11.324203Z,0.53,33,no,bdade78c-9fd2-4a4c-3bf9-4dbc25ca4e68
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:06:11.322107Z,0.53,42,no,e6bd00a8-02f2-5070-4a39-5e61e437e4d4
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:05:55.584888Z,0.54,96,no,57a290a2-030c-6f25-1792-3bbdaaba8862
KXNBATOTAL-25NOV05BKNIND-226,2025-11-06T01:05:51.104844Z,0.53,2,no,2d4de428-1222-5e5c-790e-155e96cf2ba4
