ticker,created_time,price,count,taker_side,trade_id
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:53:11.032925Z,0.99,30,no,c8460cce-2ebe-4061-2bf6-aa70849ca697
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:53:11.032925Z,0.99,546,no,bafd348b-b6c1-4458-0f56-d1a6a30d2972
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:50:13.835348Z,0.97,70,yes,8d6cd9cd-53dc-7beb-de3f-6b0e8d716f08
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:50:13.835348Z,0.99,300,yes,74064fb5-889f-7086-eeb7-ea1243d0b646
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:50:13.835348Z,0.98,200,yes,50307438-87c2-7949-d787-741ca4d4a7f5
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:50:13.214384Z,0.97,30,yes,37436cf7-b670-6a23-488c-c1a9aaec7228
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:50:12.571307Z,0.95,35,no,6025dc31-062a-6f0d-6e16-ffe2493145c2
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:50:04.394929Z,0.94,100,yes,9e06a099-8615-612d-2494-61565d84a83b
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:50:04.394929Z,0.93,100,yes,9d34135d-4388-69f8-1171-557813467e3c
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:50:04.394929Z,0.93,1000,yes,242c45ef-1b3e-6ccd-1406-310e3e50f8bc
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:27:56.376682Z,0.58,3,yes,e641a8ec-ac99-705b-ff8a-d798997ebe7c
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:26:29.422592Z,0.57,222,no,185fb04b-7a4b-4364-7c74-0f3ca285c5f9
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:26:28.196289Z,0.53,24,no,b807723c-ce9c-4044-c8b8-a1e3c2502160
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:26:27.224201Z,0.56,8,no,c9de5ad3-a72f-77a8-ad65-7dd95a6b1d5b
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:26:26.883366Z,0.56,6,no,86065c9c-9033-4f1c-be9a-8daeac910737
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:26:25.58977Z,0.53,48,no,fe432b9a-a19d-54a3-289a-4333c6ca5253
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:19:10.736857Z,0.34,576,yes,8ab10c19-cc93-4bfa-b084-a22efc88d454
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:17:53.902274Z,0.41,186,no,e26a87dc-8728-6def-387b-e3ccc5e7fe2c
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:10:15.343946Z,0.36,30,no,741679ce-61a4-72bc-3d06-9ff4e2efc6bb
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:04:19.47245Z,0.4,1000,yes,c23569d2-0dca-413f-dcc2-5da3da540c20
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:02:54.386858Z,0.4,35,yes,b456a675-b2a8-7445-a304-5e87962893f0
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:02:54.386858Z,0.4,965,yes,9bade6d5-71ca-7ca5-b5f0-2a6f82f15591
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-09T00:02:27.764581Z,0.4,35,yes,aeb4fb24-4106-5d0d-ed87-8baa4e83e0a5
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T23:36:38.728852Z,0.07,5,no,36d9caac-af89-4d9e-c8e9-17ba9b47eead
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T23:24:26.773985Z,0.1,9,yes,0ff2bc1b-17ed-74fb-9cda-3e2f857bd4a2
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T23:20:55.350217Z,0.12,1000,no,169747b8-6ac9-7752-4839-b152b0d511af
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T23:20:54.128637Z,0.12,324,no,0754ae33-f3b4-5ce3-08dc-6e5bd00dc962
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T23:20:54.031067Z,0.12,324,no,945532f1-5dd4-7b29-924d-b407aa3f1260
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T23:20:54.031067Z,0.12,676,no,86754959-2152-75ec-898f-99b5b67917fc
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T23:06:40.367697Z,0.46,10,yes,56873f23-e5c5-67b7-5c5e-f6af132017bf
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T22:56:38.461226Z,0.07,100,no,c18d002b-7a9e-6ee5-632b-fe6f6444552e
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T21:49:50.691212Z,0.22,17,no,01cd85d3-e3a8-73cb-7de0-f161538b0c2a
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T21:49:49.472614Z,0.22,658,no,2e59fc3c-b9a0-4bc7-d04a-c7a3fb1062d6
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T21:46:49.759419Z,0.2,313,no,bc781ca7-5d8b-471f-6021-6ddf9f1a57c2
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T21:46:23.320091Z,0.21,20,no,2a3b5c62-3f21-6684-49c9-071e086b9975
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T21:45:37.352064Z,0.21,1000,no,0688fafe-f0c5-5fb3-195e-6a7d6b7655ba
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T21:45:35.64767Z,0.22,1000,no,ac349450-36d9-7c35-b733-828d7fa9b609
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T21:45:34.424205Z,0.22,130,no,ad52cd5b-5699-4138-7fdb-a4a5c25729c4
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T20:52:07.15467Z,0.22,43,yes,def2ae81-fc6a-6363-f147-05d56e5fd5fd
KXNCAAFSPREAD-25NOV08WASHWIS-WIS2,2025-11-08T09:09:55.696888Z,0.47,102,yes,2962e1d2-0f67-6b08-3d9c-65144661d8f6
