ticker,created_time,price,count,taker_side,trade_id
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:51:46.897191Z,0.99,61,no,6b873250-f1d6-5398-0939-bbc9f0a116a4
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:50:17.678504Z,0.99,13,no,e690d7e6-3cde-5af0-8ebf-e539a6945cb4
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:39:02.746529Z,0.99,88,no,0253c906-daca-4048-2c6f-6c9c684c67ac
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:33:59.44807Z,0.99,121,no,957c1b8f-71e2-5d0c-ad76-49c3e59470cc
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:33:49.963613Z,0.99,99,no,c537e2dc-ab06-4160-aece-8ff4db6b6f74
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:33:39.938579Z,0.99,400,yes,3ab2775d-0c02-7821-5b5f-d16919019016
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:33:32.38801Z,0.99,300,yes,9e9104f3-309e-7366-aa47-19458eb3f79e
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:26:57.345728Z,0.88,11,yes,9021e745-2625-46c2-647d-c60eb4eff58b
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:17:36.302109Z,0.82,10,no,e8878e8f-d7ec-667b-b07d-2fefd7eab5d3
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:11:59.897434Z,0.83,5,no,36896f81-06cd-5600-72c4-598d2cba4c65
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:11:34.320195Z,0.8,14,no,343b1767-38b7-7283-3b3d-a0462d3ccdbe
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:11:22.847569Z,0.89,111,yes,11cf6ce1-8301-7eee-0db3-3fb76b74693c
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:04:57.779275Z,0.76,386,no,ec2a875e-66e0-4d69-97b8-8c5ce2818370
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:04:57.779275Z,0.77,10,no,55009b6f-1c25-4d45-9d7f-34ec9ac4a8f5
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:03:49.875888Z,0.89,89,yes,636675a2-8463-6e89-b43c-4bccd3d4d321
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T23:03:49.875888Z,0.88,10,yes,319437d9-4539-6a2b-a847-4131aca7171a
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:55:14.495864Z,0.84,223,yes,e9fefa6b-a603-6c10-9094-26da15fe09ce
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:54:21.814475Z,0.74,379,no,e45c7c83-dd7b-7055-eb77-005f1288505b
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:51:24.997938Z,0.75,64,yes,9d0ceb71-c430-6b85-8a14-c97ecc0019bc
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:50:53.144273Z,0.62,25,no,03cb18d6-baf3-5563-8c0e-7f8df63db628
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:49:20.502312Z,0.72,5,yes,b70ba122-6a64-6c5b-56b8-c18cf116c8ef
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:49:12.705409Z,0.72,13,yes,2746c6cf-f6c8-7353-b6e9-8a6a8f40bd9b
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:49:10.923384Z,0.72,68,yes,b78d0076-ae00-52df-8e6a-e67f862ec84f
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:48:45.181103Z,0.75,121,yes,518d6c49-1edc-7f1d-9b93-5a90b69aa11c
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:47:53.299643Z,0.65,15,no,acd95856-12c3-63ce-ec80-8f56b19674e1
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:44:53.703931Z,0.7,1,yes,e46ffa81-6cf1-462b-3df7-d3cb0625e89e
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:44:44.175628Z,0.69,354,yes,686ff0c2-a436-4a53-604f-6c0d36bb6738
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:44:01.246135Z,0.66,7,yes,7e5e3aba-afa2-71db-0d87-b92b10ea31a1
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:41:52.905779Z,0.22,63,no,0392b833-7ba9-60b6-1cae-2a1cac24a424
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:40:32.000526Z,0.39,79,no,822f05bf-2eed-7c03-cda7-30cd73e0ae1e
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:40:10.316985Z,0.4,10,no,b5756223-310c-42d7-26a1-4afae201a49d
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:40:10.316985Z,0.4,3,no,524dccd0-01a7-40f9-2836-959ee0083085
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:40:10.316985Z,0.39,19,no,402ef8a0-d469-4717-3202-b27c3cb6418a
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:39:01.983375Z,0.47,10,yes,a4d3b118-e0c8-6169-0bd8-6a4cadb897bb
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:39:01.983375Z,0.63,3,yes,80ec414b-ddd9-6045-248c-75365cf9f171
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:39:01.983375Z,0.46,10,yes,6c1009dc-9586-6c58-3719-a227b0a2b482
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:38:22.812825Z,0.41,32,no,9df17857-722d-7962-623a-28aa9b1a19fc
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:36:43.253247Z,0.41,8,no,76fcbdb2-f522-42f2-a275-ea51456b110a
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:32:39.903105Z,0.41,10,no,deb18d11-bd10-5312-9f9c-774f020e7fed
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:32:39.903105Z,0.39,70,no,a145fe08-eb8e-54d1-9af9-f706ee34db53
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:30:25.169382Z,0.48,44,yes,e933e2c2-f2f0-5ed2-2514-bbc453232192
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:28:15.051093Z,0.48,10,yes,5fda8f0d-ffdc-551e-3c3b-e4a915497d82
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:26:46.676753Z,0.47,14,yes,6d5cc3fb-1ba5-7930-e4a3-dc7107ab2d2b
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:26:46.676753Z,0.48,36,yes,329b3b41-dc1c-772e-f50e-814553262252
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:25:26.78117Z,0.4,81,no,4471cdb3-2942-60f6-1982-7d3b6b89d78d
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:25:11.897635Z,0.48,201,yes,ea536c28-af00-6f16-d0d2-b9b943cc3392
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:24:27.350448Z,0.4,162,no,16750bb7-c09e-7ece-72bd-0997ddbf8811
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:22:22.873338Z,0.48,402,yes,2ccdc025-e950-4f56-527f-ecf3008ebe3a
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:20:33.06252Z,0.45,10,no,cc027245-ea41-4ca3-2fa7-f6f7afc25e85
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:20:33.06252Z,0.4,31,no,51199397-a282-404a-05bf-55ec5c9c4e01
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:16:36.616838Z,0.42,31,no,c72cec0e-a6dc-499b-5d0d-ab9d97554202
KXNCAAFTOTAL-25NOV08TXAMMIZZ-36,2025-11-08T22:13:50.844591Z,0.45,5,no,d6504659-6054-634a-d442-6f258dad1f47
