ticker,created_time,price,count,taker_side,trade_id
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T02:22:13.072594Z,0.35,13,yes,6b6d8855-9df4-4f94-0985-4c8a6619dd3b
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T02:19:39.814041Z,0.01,200,no,be2879b4-e7ab-4181-5c63-ffb14812ec7a
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T02:19:39.814041Z,0.03,40,no,90f0e52f-53f5-4a3b-6b7f-309cb5ff3ea4
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T02:16:09.17163Z,0.51,3,yes,a2b473b4-db13-46b2-c540-2b2fdfeb288b
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T02:11:47.391446Z,0.41,20,no,37009067-7d1b-6578-f5c0-f31a9544a6c1
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T02:11:47.391446Z,0.42,10,no,187edb5b-f9ba-6627-e99f-b90511f902d3
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T02:04:57.57578Z,0.51,10,no,62c26d5b-e6c6-739c-e031-6bbfd8556fbc
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T02:00:58.531879Z,0.51,10,no,83c1f88c-6c02-6dac-9714-8e0cc5e71004
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T01:59:27.495511Z,0.7,10,no,703ef66c-e178-7af3-2106-0acaa087a099
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T01:58:21.256599Z,0.99,10,yes,bd433830-4654-6060-70fa-ae51ae4eb0bd
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T01:57:30.368652Z,0.6,60,no,e2e27f3e-e859-40f1-bb1f-c33e353cb88c
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T01:51:35.213954Z,0.62,20,yes,866efb25-c696-5f12-cb46-31fb6b60e121
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T01:50:08.873072Z,0.51,50,no,04f5fecb-7ec0-454d-50df-242493b6d032
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T01:41:43.286366Z,0.54,98,yes,72ab1ab5-b777-6dc6-d84e-3c30772b6c54
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T01:34:54.472701Z,0.5,80,yes,e0336361-bd21-78f6-20e7-d676c3d49dc2
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T01:28:29.733665Z,0.48,10,yes,b9792604-8aaa-42a2-ec51-7ebe2842e7ba
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T01:26:33.711449Z,0.42,60,yes,da7c41c4-78d8-7aed-2deb-dd50dd094afe
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T01:15:52.907869Z,0.34,14,yes,ff1f057d-ef24-6ce5-579a-2adf0e7a4a07
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T01:03:38.409781Z,0.32,14,yes,7d8a7deb-1ca8-6998-3aca-15175b72f969
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:56:39.349057Z,0.3,31,yes,7c936044-f34f-6924-1317-36d55900e06a
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:55:51.172893Z,0.18,8,no,e6bc180a-0d91-6635-2d8b-a2c3109f850f
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:50:54.608585Z,0.34,14,yes,8f5b7996-0452-7809-d235-cabc40b80ff7
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:45:17.015595Z,0.38,15,yes,8e06ad48-6ba1-585e-baa0-128d0981d154
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:42:02.660353Z,0.35,13,yes,35c418a1-8640-4492-b1ab-a44a449ff113
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:41:04.310319Z,0.35,40,no,3e8c5a9b-b606-7cd1-b626-2ce463097cf1
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:40:12.412798Z,0.37,129,yes,a2c78f71-8ad6-5fec-b16c-8edab77988a3
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:33:20.227176Z,0.35,250,yes,a37f338f-6e4d-6abe-410f-47d5f6a17be5
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:33:15.646474Z,0.38,40,no,ed2d62ea-72ce-4486-a5bf-0a7899a94ec8
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:28:45.115324Z,0.39,61,yes,f1a5da93-35e4-4f3b-4c25-397ba0f6f2aa
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:24:22.970593Z,0.37,12,yes,32e79f38-8a9e-4ec3-05ac-b86260a57320
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:20:10.515463Z,0.38,1,yes,e00e9699-6941-762f-96d4-bdc2f29132e9
KXNCAAMBSPREAD-25NOV08ARKMSU-MSU4,2025-11-09T00:14:29.785724Z,0.5,19,yes,99ca54a6-fae5-7152-dc6d-a954fb126137
