ticker,created_time,price,count,taker_side,trade_id
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-06T01:41:54.349657Z,0.99,20,no,ba539a0b-5d0c-6867-81e0-57b230300746
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-06T01:40:56.625245Z,0.99,62,no,4647e3c5-9960-67cf-3eb4-915b48894f26
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-06T01:34:24.301472Z,0.99,190,yes,233eb2a6-e63b-55ad-6261-e5ce2c203d81
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-06T01:34:13.304877Z,0.99,10,yes,02756d56-8b73-66f5-fec4-bbb17084e7ed
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-06T00:25:33.883645Z,0.03,554,no,d21500aa-77c1-7959-a030-813b90ec3741
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-06T00:25:33.883645Z,0.02,1208,no,364b8d41-fece-765e-8a48-3d6d2af8ae43
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-06T00:09:21.6327Z,0.45,198,yes,5f43b723-c354-4856-bfc7-af66d00fed70
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-06T00:09:21.6327Z,0.5,10,yes,12312f66-3761-4db5-9817-a8ad6a5a1ff6
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-06T00:09:21.6327Z,0.98,2,yes,0d6a5585-b99d-4e23-8336-eb1b9d784c4c
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-06T00:02:32.400925Z,0.45,2,yes,77a4662a-c470-682a-3e41-d3e387688900
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-06T00:01:25.326961Z,0.01,200,no,f023f378-b10c-783c-f09d-b3dd2ed8744b
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-05T22:13:35.145946Z,0.46,63,no,ee684da7-c84e-58b6-7497-0a70bce70431
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-05T22:13:35.145946Z,0.46,105,no,35f21880-b06a-5395-71d3-d105705509a1
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-05T22:13:35.145946Z,0.46,148,no,0e18a186-fb8c-5501-5f65-3c1e54306fe8
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-05T21:18:07.758034Z,0.46,23,yes,533a2208-aa87-6247-3b01-1fec4d39e19d
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-05T21:18:07.758034Z,0.47,1208,yes,38221f79-5404-6379-213b-3d62debd0ced
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-05T21:12:55.177932Z,0.45,17,no,fd001333-9216-5123-930a-5a32892cab4d
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-05T21:11:28.084802Z,0.46,62,yes,29f41806-93c1-59a1-20bd-61540b9c1cab
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-05T21:03:00.248581Z,0.45,5,no,f39caa04-b67e-7bc7-de9c-d64984a2c0c9
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-05T16:54:31.433501Z,0.43,42,no,18814734-f541-78cf-dc44-b5484eeda4c2
KXNCAAMBTOTAL-25NOV05COPPLAS-142,2025-11-05T15:45:03.374251Z,0.46,20,yes,dd1bf3de-66d5-5ae9-fad7-d774b735b86f
