ticker,created_time,price,count,taker_side,trade_id
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T19:03:01.119809Z,0.99,100,no,f733900e-1dd8-4f3f-7a84-c4b16b45c066
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T18:55:12.764181Z,0.99,37,no,42aa0c4f-332c-5e43-0453-f311da93d486
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T18:54:52.292045Z,0.99,40,no,e3892e7a-eda4-7efb-6990-eecfcec1698a
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T18:51:05.020092Z,0.99,186,yes,39e4bf47-d531-44ad-0742-539fb1b15622
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T18:51:00.407873Z,0.99,14,yes,b69f31d2-1fe9-79e5-e463-3e51987ed732
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T18:35:37.266802Z,0.8,4,no,fc34e8c0-1d86-5c68-a673-d1326bfc3fc1
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T18:30:52.788202Z,0.99,200,yes,e9791168-1914-4967-f188-e8a9f125da94
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T18:30:52.788202Z,0.99,300,yes,46fe5a18-08df-432a-ed48-450c1b928efb
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T17:54:52.555729Z,0.77,64,yes,5b8ed2ec-a5d0-42e9-e0da-389321116d1d
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T17:53:39.281084Z,0.77,11,no,22b72ee3-e881-7c56-b04b-0f5bcfda583e
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T17:25:58.828054Z,0.57,170,yes,cd83d09d-5b2d-4e3d-cee1-a2eb4d2b73a2
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T17:19:29.735914Z,0.55,213,no,5393d9dc-64d0-425b-d2ea-fd052cb4b23c
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T17:06:54.42892Z,0.51,81,yes,2a2633d4-ba07-7c15-3a6e-9ee2b096ae8f
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T17:03:04.240568Z,0.51,18,yes,75f15b2c-ac9f-78a5-7af5-e29f058913ff
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:57:36.114016Z,0.51,100,yes,eed37171-fa6f-5259-c19d-98930db2af43
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:55:31.781117Z,0.51,40,yes,07f34295-46d3-5229-94c8-0862dd67586f
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:55:22.995142Z,0.51,446,no,4ced1547-8037-720b-db29-0c444d6c2ae1
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:53:20.072774Z,0.53,208,yes,ef925126-b735-7091-27ad-cec9c8eb2cb8
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:53:20.072774Z,0.53,1042,yes,e88bf528-9dce-7b90-3825-231047b845af
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:49:30.97043Z,0.51,60,no,4c74527e-e3e3-64a3-70b0-ca2af167a501
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:48:31.590242Z,0.53,3200,yes,001a861f-3e99-7315-19f2-073a83e70540
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:44:37.788258Z,0.53,3,yes,0c9765c7-4309-63bd-44c7-4721fc0120d0
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:36:58.342906Z,0.51,39,no,43f5b92f-0133-425b-bd1d-dc46254ae8f9
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:36:26.033446Z,0.52,14,yes,e5cde711-f911-7e80-0f5c-8edc94706e5a
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:34:27.90897Z,0.51,455,no,e32fc90a-05fb-4793-03e0-34ffabccc9fd
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:34:27.90897Z,0.51,45,no,a2aee292-a78b-4d48-20c8-e0134f1480ed
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:33:57.283026Z,0.52,93,yes,d7bb3f47-7cf9-60b0-8bf4-f1a1ca8137a2
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:32:23.840652Z,0.52,4,yes,168ae7ac-0b19-4a94-af72-7581404de3ce
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:24:35.958017Z,0.52,47,yes,cf402637-c081-56cc-b0b5-6d952efcfaf2
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:17:45.824849Z,0.51,98,no,1a29edc9-ad7f-45d0-9b61-8243165e4bc9
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:17:22.768286Z,0.52,37,yes,ac3b19f5-407d-706c-6993-d51238d63642
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:14:05.039261Z,0.52,52,yes,13f89761-a28d-6808-29fb-e307331373da
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:10:14.830926Z,0.54,84,no,6fc3f209-d7bf-53b5-fc84-4efd99a37ea2
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:10:08.693466Z,0.54,100,no,1887474f-be5b-5dc5-31cf-526214f05d42
KXNCAAMBTOTAL-25NOV08ALASJU-171,2025-11-08T16:10:06.123428Z,0.54,100,no,e50a5955-ba7b-4b05-abc7-8dc0cefe5e36
